condition,n,pearson_mean,spearman_mean,mean_clean_reward,mean_noisy_reward,noisy_reward_std,noisy_reward_min,noisy_reward_max,frac_noisy_reward_lt_0_05,frac_noisy_reward_lt_0_10,frac_noisy_reward_gt_0_90,mean_visibility_frac
bias_feet_0.05,3,0.8861469471068876,0.8348227799420344,0.8085992371725718,0.8098985030943083,0.1750347241770012,0.1065298963359615,0.9912546447098753,0.0,0.004,0.3892,1.0
bias_feet_0.10,3,0.687858733550126,0.5618065841716676,0.7742960734048946,0.7357297990860117,0.20693546412807087,0.050285276616145735,0.9668244676576543,0.0014787486515641854,0.021393311758360303,0.2563302203729388,1.0
clean,3,0.9999999999999997,1.0,0.7586289738693432,0.7586289738693432,0.2061169936156998,0.047529923275065306,0.9999291813787128,0.00698577347142126,0.0128048401904104,0.32097528329785896,1.0
dropout_hold_p_0.10,3,0.9999967181240547,0.9999948270235549,0.7967705100098167,0.7967175390917475,0.1738618824047741,0.11490088732910593,0.9999238388248749,0.0,0.0026666666666666666,0.3284666666666667,0.8979499999999999
dropout_hold_p_0.30,3,0.9999851455459717,0.9999786387346729,0.8121779157583439,0.8120229914109006,0.16592588450864706,0.12655934535501903,0.999939924775954,0.0,0.002266666666666667,0.3772,0.7008333333333333
dropout_masked_p_0.30,3,0.7876925314536035,0.6481724323154502,0.8043266145614091,0.9425874196321476,0.08033499645424051,0.24534420664533726,1.0,0.0,0.0,0.8182666666666667,0.7008333333333333
dropout_zero_p_0.30,3,0.20056649599490137,0.23172988906885603,0.8043377623721124,0.37599177590904026,0.39666977927384456,4.49912924492636e-06,0.999587815485273,0.5109333333333334,0.5116,0.12493333333333334,0.7008333333333333
jitter_sigma_0.05,3,0.9112187778701019,0.8659654502730282,0.7609453703498068,0.6930042994517213,0.19446828540354102,0.0688464729530495,0.9812957316832733,0.007988380537400145,0.017025950133139674,0.11008424110384896,1.0
jitter_sigma_0.10,3,0.7033624550983744,0.6306401366703117,0.733543851279828,0.5147267459435755,0.19947580899866135,0.025125844744113366,0.9497120737754958,0.014117813051146386,0.03176129032258065,0.006874449564772146,1.0
