condition,n_x,pose_return_mean,pose_return_sd,env_return_mean,env_return_sd,keypoint_mse_mean,keypoint_mse_sd,length_mean,length_sd,n_y,pearson_mean,pearson_sd,spearman_mean,spearman_sd,mean_clean_reward,mean_noisy_reward,mean_visibility_frac
dropout_hold_p_0.30,3,812.3074574699452,6.5134586821430345,1039.037953153695,0.3956264873102443,0.006071449518378,0.0004447053352272,1000.0,0.0,3,0.9999851455459717,9.04608937807968e-06,0.9999786387346729,7.5620273969336535e-06,0.8121779157583439,0.8120229914109006,0.7008333333333333
bias_feet_0.05,3,808.596925662071,1.1085764359206007,1039.932418030936,1.9841953335324096,0.006072192955913,0.0001955883872636,1000.0,0.0,3,0.8861469471068876,0.02049540655465778,0.8348227799420344,0.010764428742855311,0.8085992371725718,0.8098985030943083,1.0
dropout_zero_p_0.30,3,803.9955235393041,11.905934032265597,1044.048555759489,9.431040445097874,0.0063619762745433,0.0004243505185424,1000.0,0.0,3,0.20056649599490137,0.021357309325865725,0.23172988906885603,0.03396114993011398,0.8043377623721124,0.37599177590904026,0.7008333333333333
dropout_masked_p_0.30,3,804.3217755245554,4.734882632821489,1034.1539879790146,1.9593782987282868,0.0064125308687696,0.0001429928387311,1000.0,0.0,3,0.7876925314536035,0.014849975686963357,0.6481724323154502,0.017121571103684428,0.8043266145614091,0.9425874196321476,0.7008333333333333
dropout_hold_p_0.10,3,796.7643804640637,16.18491864519943,1043.7505826646668,4.73708458388657,0.0066557208036763,0.0005898992275432,1000.0,0.0,3,0.9999967181240547,1.524149883890644e-06,0.9999948270235549,2.2225670259355744e-06,0.7967705100098167,0.7967175390917475,0.8979499999999999
jitter_sigma_0.05,3,600.9472352048496,364.54278171109223,830.7018591095397,359.093373536352,0.0088135590525119,0.0049124687193899,757.6666666666666,419.7336457008579,3,0.9112187778701019,0.04164686755574664,0.8659654502730282,0.05905620219995231,0.7609453703498068,0.6930042994517213,1.0
bias_feet_0.10,3,600.5596302241703,344.4600125970517,1249.0632797731637,919.0080701638408,0.0093755720174845,0.0050877979861027,768.1999999999999,401.48937719446576,3,0.687858733550126,0.1499137422148156,0.5618065841716676,0.18897661202771293,0.7742960734048946,0.7357297990860117,1.0
jitter_sigma_0.10,3,359.56419175336265,374.3747770239996,558.7985973731901,422.3439004115448,0.0099673088042011,0.0045271911362954,468.4,460.56830112373126,3,0.7033624550983744,0.11026171824201086,0.6306401366703117,0.1514043436670523,0.733543851279828,0.5147267459435755,1.0
clean,3,435.7623349728742,330.260388754498,702.6015708155537,360.68219641668185,0.0143613287828073,0.007805336329969,578.0666666666667,383.9547021893772,3,0.9999999999999997,2.220446049250313e-16,1.0,0.0,0.7586289738693432,0.7586289738693432,1.0
